Symbol,Open,Close,Direction,Position,SMA,TMA,Time
ASHOKLEY,120.8,121.08,BUY,None,120.11,118.85,3/16/2021 9:15
ASHOKLEY,121.08,121.41,BUY,None,120.36,119.09,3/16/2021 9:16
ASHOKLEY,121.41,121.74,BUY,None,120.62,119.35,3/16/2021 9:16
ASHOKLEY,121.74,122.08,BUY,None,120.89,119.62,3/16/2021 9:17
ASHOKLEY,121.74,121.34,SELL,None,121.05,119.88,3/16/2021 9:20
ASHOKLEY,121.34,120.93,SELL,None,121.13,120.12,3/16/2021 9:21
ASHOKLEY,120.93,120.5,SELL,None,121.14,120.33,3/16/2021 9:23
ASHOKLEY,120.93,121.41,BUY,None,121.24,120.55,3/16/2021 9:32
ASHOKLEY,120.93,120.65,SELL,None,121.23,120.74,3/16/2021 9:52
ASHOKLEY,120.65,120.39,SELL,None,121.15,120.89,3/16/2021 9:57
ASHOKLEY,120.39,120.17,SELL,None,121.06,120.99,3/16/2021 10:12
ASHOKLEY,120.39,120.65,BUY,None,120.99,121.05,3/16/2021 10:13
ASHOKLEY,120.65,120.95,BUY,None,120.91,121.08,3/16/2021 10:17
ASHOKLEY,120.95,121.29,BUY,None,120.83,121.07,3/16/2021 10:23
ASHOKLEY,121.29,121.52,BUY,None,120.85,121.05,3/16/2021 10:30
ASHOKLEY,121.29,121.08,SELL,None,120.86,121.03,3/16/2021 10:39
ASHOKLEY,121.29,121.44,BUY,None,120.96,121.01,3/16/2021 10:52
ASHOKLEY,121.29,121.14,SELL,None,120.93,120.98,3/16/2021 11:14
ASHOKLEY,121.14,120.99,SELL,None,120.96,120.95,3/16/2021 11:17
ASHOKLEY,120.99,120.84,SELL,None,121.01,120.94,3/16/2021 11:45
ASHOKLEY,120.99,121.15,BUY,None,121.1,120.94,3/16/2021 12:02
ASHOKLEY,121.15,121.33,BUY,None,121.17,120.96,3/16/2021 12:03
ASHOKLEY,121.33,121.5,BUY,None,121.23,120.99,3/16/2021 12:18
ASHOKLEY,121.5,121.66,BUY,None,121.26,121.03,3/16/2021 12:46
ASHOKLEY,121.66,121.82,BUY,None,121.29,121.08,3/16/2021 12:54
ASHOKLEY,121.82,122,BUY,None,121.39,121.13,3/16/2021 12:55
ASHOKLEY,122,122.2,BUY,None,121.46,121.18,3/16/2021 12:58
ASHOKLEY,122.2,122.43,BUY,None,121.59,121.25,3/16/2021 13:00
ASHOKLEY,122.2,121.93,SELL,None,121.69,121.32,3/16/2021 13:12
ASHOKLEY,121.93,121.76,SELL,None,121.78,121.4,3/16/2021 13:39
ASHOKLEY,121.93,122.13,BUY,None,121.88,121.47,3/16/2021 13:45
ASHOKLEY,122.13,122.33,BUY,None,121.98,121.56,3/16/2021 13:51
ASHOKLEY,122.33,122.54,BUY,None,122.08,121.64,3/16/2021 13:57
ASHOKLEY,122.33,122.14,SELL,None,122.13,121.73,3/16/2021 14:13
ASHOKLEY,122.14,121.95,SELL,None,122.14,121.81,3/16/2021 14:13
ASHOKLEY,122.14,122.34,BUY,None,122.18,121.89,3/16/2021 14:26
ASHOKLEY,122.34,122.56,BUY,None,122.21,121.97,3/16/2021 14:31
ASHOKLEY,122.56,122.79,BUY,None,122.25,122.03,3/16/2021 14:32
ASHOKLEY,122.79,123,BUY,None,122.35,122.1,3/16/2021 14:55
ASHOKLEY,123,123.25,BUY,None,122.5,122.17,3/16/2021 15:00
